instruction,name,description
I need assistance checking your available payment modalities,[Refund Policy Inquiry],"[Customers are asking about the refund policy, including how long refunds take and under what circumstances refunds are allowed.]"
I do not know what I have to do to list the payment options,[Refund Policy Inquiry],"[Customers are asking about the refund policy, including how long refunds take and under what circumstances refunds are allowed.]"
i need help checking ur allowed paymeny modalities,[Refund Policy Inquiry],"[Customers are asking about the refund policy, including how long refunds take and under what circumstances refunds are allowed.]"
"I want  to list your payment options, can you help me?",[Refund Policy Inquiry],"[Customers are asking about the refund policy, including how long refunds take and under what circumstances refunds are allowed.]"
can i see ur abailable payment methods,[Refund Policy Inquiry],"[Customers are asking about the refund policy, including how long refunds take and under what circumstances refunds are allowed.]"
I need assistance to see your allowed payment methods,[Refund Policy Inquiry],"[Customers are asking about the refund policy, including how long refunds take and under what circumstances refunds are allowed.]"
"I want to check your payment modalities, I need assistance",[Refund Policy Inquiry],"[Customers are asking about the refund policy, including how long refunds take and under what circumstances refunds are allowed.]"
I can't seed your refund policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
i want assistance checking ur money back policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I need to see how long reimbursements take, how to do it?",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I am trying to check in which cases can I request a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
show me in which cases can I ask for my money back,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help checking in what cases can i ask to be reimbursed,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I want to check how long refunds take, I need assistance",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
want help checking in what situations can I ask for a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
assistance to check in which cases can I ask for refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me see in what cases can I request to be reimbursed,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
is it possible to see in what cases can i ask for a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
want help to see in what cases can I request reimbursements,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I would like to see your damn refund policy, I need help",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help checking in which situations can i ask to be erimbursed,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
need help seeing in what cases can i ask ofr reimbursements,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I try to check in what situations can I request a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I have got to see how long refunds take, will you help me?",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
could I check in what situations can I ask for a refund?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I am trying to check how long reimbursements usually tke,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
can ya help me check how long reimbursemenst take,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
is it possible to see in which cases can I ask for a refund?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I want help seeing in which cases can I ask to be refunded,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
assistance seeing how long reimbursements usually take,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I have to see in whzt cases can I request to be reimbursed,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
wanna see ur refund policy caan ya help me,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
show your money back guarantee,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
i need help checking in what cases can i ask to be refunded,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
how do I see your money back policy?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I need to see in what cases can I request a refund, help me",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I want to see in what cases can I ask for reimbursements,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
see in which situations can I request a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me see in what cases can i request to be  reimbursed,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I have to see in what cases can I request my money back,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
i cant check ur moeny back guarantee,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
i have got to see ur refund policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I try to see in what cases can I request a reimbursement,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
can ushow me in which situations can i ask for refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I want assistance checking your reimbursement policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me to check how long reimbursements usuaoly take,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help seeing in what cases can I request to be refunded,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I have to check in what cases can I ask for a reimbursement,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I have to see in which cases can I request a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I need assistance seeing how long reimbursements take,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I need to check your reimbursement policy, will you help me?",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I need to check in which cases can I request my money back,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
check in whicch cases can i ask to be refunded,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I need to see your money back guarantee, how do I do it?",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I need to check your reimbursement policy , help me",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me seeing in which cases can I request my money back,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I have to see in what situations can I request refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I need to see your reimbursement policy, how do I do it?",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
check in which situations can i request reimbursements,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
can you help me seeing in which cases can I request refunds?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I want to see your money back guarantee, how can I do it?",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
could I see how long the fucking refunds usually take?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
in which cases can i request to be refunded,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
check in what cases can i request to be refunded,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help to see ur money back policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I need assistance to check your reimbursement policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
in which situations can I request reimbursements?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me seeing in which cases can I ask for my money back,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
check under which circumstances can I request refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I have to sde in what cases can I request a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
are charges for services reimbursable,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me to check how long reimbursements usually take,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
want help seeing in what cases can i request my money back,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
need to see in what situations can i ask for a reimbursement,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
see under which circumstances can I request my money back,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
need to see in what cases can i request to be reimbursed,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
can I check in which cases can I ask for a reimbursement?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
in which cases can i ask to be reimbursed,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I want help seeing in which situations can I ask for refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me to check in what cases can i request refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
in what cases can I request a refund?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
how to see your goddamn reimbursement policy?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I need help seeing in which cases can I ask for a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
can I check in which situations can I request refunds?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
wanna check how long refunds usuall take can ya help me,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
wanna see ur refund polcy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me to see your goddamn refund policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
assistance to see  ur reimbursement policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
i want help to check in what cases can i request refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
show me how long refunds take,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me checking in what cases can i ask for refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I want to check how long reimbursements take, I need help",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
in which cases can i ask for reimbursements,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
wanna see in which situations can i ask for a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
show your refund policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
i have to see ur reimbursement policy i need assistance,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I need to see in what situations can I request refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I try to see in what cases can I ask for my damn money back,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
assistance to see your refund policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
in whichsituations can i ask for a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help seeing in what cases can I request to be refudned,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I do not know what I need to do to check your refund policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
wanna see how long refunds take help me,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I want help seeing in which situations can I request refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I need to check your reimbursement policy, can you help me?",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I want to see your money back policy, I need help",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me see in what situations can I request reimbursements,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I want to check in what situations can I request a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
want help to see in what situations can i ask to be refunded,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I'm trying to see ur reimbursement policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I have to see under what circumstances can I request refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I do not know how I can see your reimbursement policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me see in what situations can I request a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
assistance seeing in what cases can I request reimbursements,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
wanna see in which cases can i ask for a reimbursement,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
check in which cases can i request refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
see how long refunds take,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
am I entitled to a reimbursement?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
i have got to see in which situations can i request a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
what do i need ti do to check ur refund policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
show me in which cases can I ask for refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I need to check in what cases can I request refunds, help me",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
check in which situations can I ask for refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
need help seeing in which cases can  I request a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help checking in which cases can I request to be refunded,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
check under what circumstaces can i request a goddamn refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me to see how long reimbursements take,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
could I see in which cases can I ask to be refunded?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I try to see in what cases can I ask to be reimbursed,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
"I want to see your money back guarantee, how could I do it?",Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I try to see in what cases can I ask for a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
i have to see how long refunds take how do i do it,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
check under which circumstances can I ask for refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help to see in which cases can i request my money back,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
where do i check ur goddamn money bafk guarantee,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
need assistance to check in what cases can I request refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I have to check in which cases can I ask to be reimbursed,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me seeing in which situations can I ask for a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
assistance to check ur money back guarantee,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
see in what cases can i request refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
can I see in what cases can I request an reimbursement?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I need help to see in what cases can I ask to be refunded,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
want help to check in what situations can i ask for refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
could I check in what cases can I request reimbursements?,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
want help seeing in what cases can I request to be refunded,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I have to check in which cases can I request a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help checking in which situations can I ask for a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help to check in whatcases can I request my money back,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
can i check i which situations can i ask to be reimbursed,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help me check in what cases can i ask for a refund,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
help seeing in what situations can i request reimbursements,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
helpme check your refund policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
I want assistance to see in what cases can I ask for refunds,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
i have got to see ur refund poliicy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
want help to see ur money back policy,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
wanna check how long refunds usually take help me,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
want assistance seeing ur money back guarantee,Refund Policy Inquiries,"Customers are asking for help or clarification regarding the company's refund policy, including timeframes and eligibility criteria."
can I check in which cases can I request a refund?,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I want help to see in which situations can I ask for refunds,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I need to see under what circumstances can I ask for refunds,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I try to check your damn money back guarantee,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
check in which cases can I ask for a refund,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I have to see in what cases can I ask for reimbursements,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
i need help seeing ur monbey back policy,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I want to check your reimbursement policy,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
what do I have to do to check your reimbursement policy?,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I try to see in what situations can I request to be refunded,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I have to see how long reimbursements take,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
help seeing in what cases can i ask for a refund,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
help seeing under which circumstances can i request a refund,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I need help to see how long refunds take,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
help me to file a claim,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
where can i make a consumer claim against ur organization,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
want help to make a consumer complaint against ur company,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I'm not happy with ur service need help to file a complaint,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
help to make a complaint,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I call to makle a customer claim against your business,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
"I would like to make a bloody complaint, could you help me?",Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
i need hepl to lodge a consumer reclamation,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
assistance to file a reclamation,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
help lodging a customer complaint,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
how do i lodge a consumer complaint,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I want help to lodge a consumer claim,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
help to make a claim against your company,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
i need assistance filing a consumer claim against ur company,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I have to file a consumer complaint,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
wanna lodge a consumer reclamation against ur company,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
i dont know what to do to make a complaint,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
how to make a consumer claim against ur company,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
want assistance to lodge a claimn against ur organization,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
"I want to file a damn consumer claim, how can I do it?",Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I want help to file a complaint against your organization,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
lodging consumer claim against your company,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
how can i make a customer complaint against ur organization,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
my experience with uhas been bad i wanna make a bloody claim,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
what do I have to do to file a claim?,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
how can I make a complaint against your company?,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
could i file a revlamation against ur organization,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I don't know what I have to do to file a customer claim,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I call to lodge a consumer reclamation against your business,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I have to make a claim,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
make customer claim against your organization,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
I don't know what to do to lodge a complaint,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
where do I file a claim against your company?,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
what do I need to do to make a customer reclamation?,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
i need assistance to file a complaint,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
"I am unhappy with your service, I have to file a reclamation",Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
what do I have to do to lodge a complaint?,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
can you help me lodging a complaint against your company?,Customer Complaints,Customers are expressing dissatisfaction with the company's products or services and seeking assistance in filing complaints or lodging claims.
