instruction,name,description
I need help to add several articles to order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
how to edit purchase {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
how can I delete some products from purchase {{Order Number}} ?,Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
update order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
deleting something from order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
can I update order {{Order Number}}?,Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
remove item from order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
can you help me changing a product of a purchase?,Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
I can't remove some articles from purchase {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
edit order  {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
i want help to edit order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
I cannot add some products to purchase {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
"I need to edit order {{Order Number}}, could I get some help?",Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
how could I switch several articles of purchase {{Order Number}}?,Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
"I have to add an article to order {{Order Number}}, help me",Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
I need assistance with adding an item to order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
I want help to switch something of order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
how do i remove some articles from purchase {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
I have got to edit order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
how can I switch an item of order {{Order Number}}?,Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
can you help me remove something from purchase {{Order Number}}?,Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
i try to edit purchase {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
i wnt help swapping several items of order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
"I want to modify order {{Order Number}}, how to do it?",Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
wanna modify purchase {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
wanna change something of order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
can I delete a damn article from order {{Order Number}}?,Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
i dont know how i can delete something from order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
is it possible tomodify order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
edit ordr {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
chnaging order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
need to add several products to purchase {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
is it possible to update order {{Order Number}}?,Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
I try to edit order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
modify order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
how to edit order {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
swap an article of purchase {{Order Number}},Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
is it possible to swap an item of purchase {{Order Number}}?,Editing Orders,"[Customers are seeking assistance in editing their orders, including adding, removing, or swapping items.]"
i cant add something to order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
assistance to delete an item from purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
can I add some items to purchase {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
i cant add some articles to purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
can I swap some items of purchase {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I need to swap a product of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
add something to order,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
want help to change several items of purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I need help to swap some itemsof order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
help me modifying purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
assistance to switch something of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
want assistance to edit  purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
how do i correct purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
how to add an item to order {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
can uhelp me swap something ofpurchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I can't swap somethhing of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
how od i edit purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
could I swap a bloody item of purchase {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
can I update order00004587345?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
help switching some products of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
updating order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
modify order113542617735902,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I want assistance changing a product of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
have a problem with changing purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
help editing order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I need help with adding an article to order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I do not know how I can swap an item of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
can you help me to remove a product from order {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
help me change purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
problem with modifying purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I need help removing some items from purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
i dont know how i can add several items to purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
how do i swap a product of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
remove something from order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
help to swap an article of purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
i need help with swapping something of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
help to switch several products of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
modify order732201349959,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
help switching something of purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I need assistance to modify purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
want help to swap several items of purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
how to switch an item of purchase {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
si it possible to add some products to order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
help me add some damn items to order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
"I want to modify purchase {{Order Number}}, I need assistance",Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
how to remove something from order {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
how do I add some articles to purchase {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
i need help to delete some products from order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
need to add an item to purchase {{Order Number}} could ya help m,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
remove some items fropm order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I'm trying tochange order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
help to swap a product of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
need assistance to change purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
can I change order {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
edit ordr {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
add some damn products to order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
can i change some products of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
"I have got to swap something of order {{Order Number}}, help em",Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
how can I erdit purchase {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
problems with correcting order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
need to add some goddamn articles to order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
edtiing order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
assistance removing something from purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
can i delete some products from order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
changing purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
change purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I try to correct order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
wanna correct order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
assistance to swap several items of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
correct purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
can I modify order {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
i need information about correcting purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
how to add some items to order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
can I swap something of order {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I cannot remove  an article from order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
edit order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I want help updating order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
help me switch several products of purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I want to change purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
can I remove some products from purchase {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
can i correct order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
help me to add some articles to purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
can I swap an itm of purchase {{Order Number}}?,Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I need help with updating order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
"I have to change some articles of order {{Order Number}}, help me",Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
add something to order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
changing purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
change purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
question about correcting purchase {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
i try to change several products of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
I want assistance to swap some items of order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
change purchzse {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
i try to correct order {{Order Number}},Correcting Purchases,"[Customers need help correcting mistakes in their purchases, such as removing or changing items.]"
deleter a product from purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
help to delete something from order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
change order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I need help adding an article to purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
add something to order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
problem with adding some articles to order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
i need help to swap something of purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
"I have to edit order {{Order Number}}, how do I do it?",Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
can ya help me to change an article of purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
can uhelp me to remove an item from order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I can't  change something of order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
swap several articles of purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
"I have to update order {{Order Number}}, I need assistance",Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
wanna swap some fucking products of purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
change order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
edit ordr {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
edit purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
want help to switch several items of purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
could I edit purchase {{Order Number}}?,Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
help with adding a goddamn item to ordr {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
assistance to add a damn article to order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
what do I need to do to edit order {{Order Number}}?,Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
i cant change some items of order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
correcting order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
can I edit purchase {{Order Number}}?,Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
need to change order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
i cannot remove an article from purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
help to moidfy purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I need to swap some items of purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I have problems with changing purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
can uhelp me swap some items of order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
how to switch a product of order {{Order Number}}?,Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
how could I swap several items of purchase {{Order Number}}?,Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
"I have to correct order {{Order Number}}, can I get some help?",Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
"I would like to correct order {{Order Number}}, I need help",Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I have got to delete a damn product from purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I don't know how I can change something of purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
how do I add some items to order {{Order Number}} ?,Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
how do I delete some bloody products from purchase {{Order Number}}?,Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
"I missed an item in purchase {{Order Number}}, I need help adding it",Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I can't swap an item of purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
can uhelp me swap some items of order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
help me to switch several articles of order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
modify order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
edit purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I want to remove some articles  from order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
wanna deit order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I'm trying to swap an item of purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
wanna add a product to order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I need to switch some items of purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
i need help to edit purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
help to delete some itmes from purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
how to add an article to purchase {{Order Number}}?,Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
can uhelp me remove several articles from order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
modify order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
add item to order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
i need assistance swapping an article of order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
ohw can i add some items to order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I want help modifying order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
add item to order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
wanna cange an item of order {{Order Number}} how could i do it,Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
i cant remove an itme from purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
i do not know how to change a product of order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
i need help to add something to order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
could uhelp me switch  some articles of order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
help me add some articles to purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
"I have to correct purchase {{Order Number}}, I need assistance",Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
can ya help  me remove some products from order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
correcting purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
i cant add some goddamn products to purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
can I change an article of purchase {{Order Number}}?,Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
what do i have to do to correct order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I missed several damn articles in order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
want help swapping an article of purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
can ya help me change a product of purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
need help switching several items of order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I have missed some goddamn articles in purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
editing order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
need help with switching some articles of an order,Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
I would like to switch something of order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
i want help adding some products to purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
help me to remove a product from purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
wanna swap a product of purchase {{Order Number}} can uhelp me,Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
wanna modify order {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
help adding several products to purchase {{Order Number}},Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
how can I add an article to purchase {{Order Number}}?,Updating Orders,"[Customers want to know how to update their orders, often due to changes in their delivery address.]"
i need help changing some articles of order {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
could I switch something of order {{Order Number}}?,Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
"I have to add a product to purchase {{Order Number}}, how to do it?",Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
remove item from order,Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
help me deleting an item from purchase {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
help deleting some products from purchase {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
"I want to switch an item of order {{Order Number}}, help me",Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
wamna switch some products of order {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
i cant edit order {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
i want help correcting purchase {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
I am trying to swap an item of order {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
i need help to switch several products of order {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
i want help adding an item to purchase {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
I cannot update purchase {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
remove several items from purchase {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
i need help changing an iten of purchase {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
help me to add several items to order {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
I have to swap something of purchase {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
I try to edit purchase {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
update order {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
I have to add some articles to order {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
help changing some products of order {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
"I missed an item in purchase {{Order Number}}, can you add it?",Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
wanna swap an item of order732201349959 i need help,Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
"I made a mistake, I have got to modify purchase {{Order Number}}",Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
i try to remove some items from order {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
how colud I delete something from order {{Order Number}}?,Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
I don't know how to change a item of purchase {{Order Number}},Deleting Items from Orders,[Customers are trying to delete one or more items from their orders and need assistance doing so.]
